id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min
0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5.0E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,
124,124,224893,9085,,,,0.026949,61.222801,943.3962,-2.8,-1.34,-23.0,5.58,-4.293,F0III,0.407,454.144163,3.204116,826.885007,-5.86E-6,-1.285E-5,-2.357E-5,0.007055293220648263,1.0685394491555988,-1.3574783055555555E-8,-6.496503E-9,,,Cas,1,124,,4541.507126325551,,
145,145,224926,9087,,29    Psc,,0.030402,-3.027504,139.2758,18.9,-10.25,23.0,5.13,-0.589,B7III-IV,-0.128,139.077212,1.106982,-7.355907,2.302E-5,1.294E-5,-8.15E-6,0.007959311760624218,-0.052839908817267495,9.1629785625E-8,-4.9693402E-8,,29,Psc,1,145,,149.830421062266,,
154,154,224935,9089,,30    Psc,,0.032672,-6.014072,132.4503,46.62,-41.32,-12.0,4.37,-1.24,M3III,1.631,131.716394,1.126662,-13.877167,-1.524E-5,2.98E-5,-2.51E-5,0.008553478676206407,-0.104965358843855,2.2602013787499997E-7,-2.00325012E-7,,30,Psc,1,154,,272.89777828080406,YY,4.418
171,171,224930,9088,Gl 914A,85    Peg,,0.036139,27.082256,12.1699,778.59,-918.72,-37.6,5.8,5.374,G3V,0.69,10.834733,0.102555,5.540428,-9.99E-6,4.584E-5,-6.577E-5,0.00946108171981008,0.47267453579784746,3.7747108354375E-6,-4.454080246E-6,,85,Peg,1,171,Gl 914,0.6171631684555837,,
183,183,224990,9091,,Zet Scl,,0.038867,-29.720414,154.0832,9.66,14.0,8.6,5.04,-0.899,B4V,-0.15,133.807455,1.36158,-76.389577,1.275E-5,7.35E-6,4.72E-6,0.01017525278876349,-0.5187190791032438,4.683300154166666E-8,6.7873915E-8,Zet,,Scl,1,183,,199.34254564980927,,
194,194,225003,9093,,32    Psc,,0.041584,8.485463,36.9004,-93.55,-47.5,10.0,5.7,2.865,F0V,0.315,36.494389,0.397318,5.44498,1.155E-5,-1.661E-5,-6.89E-6,0.010886699497016102,0.1480992689931425,-4.5354319815972223E-7,-2.30286498E-7,,32,Psc,1,194,,6.223002851691592,,
300,301,225132,9098,,2    Cet,,0.06233,-17.335988,83.4725,28.57,-7.28,-5.0,4.55,-0.058,B9IVn,-0.047,79.670013,1.300177,-24.872663,-5.95E-6,1.147E-5,-1.29E-6,0.01631802797359968,-0.30257006382630625,1.3851126853472225E-7,-3.5294435E-8,,2,Cet,1,300,,91.87556016660622,,
343,343,225197,9101,,,,0.072165,-16.529036,90.6618,53.77,-60.27,-27.0,5.78,0.993,K0III,1.084,86.89952,1.641967,-25.793323,-3.445E-5,2.299E-5,-1.754E-5,0.018892655987765305,-0.2884861027255437,2.606843160347223E-7,-2.92197205E-7,,,Cet,1,343,,34.89795674378744,,
379,379,225216,9104,,,,0.078304,67.166445,92.6784,95.58,23.8,-27.0,5.68,0.845,K1III,1.051,35.956698,0.73744,85.415532,-2.145E-5,4.251E-5,-2.13E-5,0.02049985461801391,1.1722756186244814,4.6338491587499996E-7,1.15385655E-7,,,Cep,1,379,,39.99447497610976,,
418,418,225289,9110,,,,0.085039,61.31397,221.7295,14.29,2.24,14.0,5.8,-0.929,B8MNp...,-0.067,106.405975,2.369398,194.515247,4.42E-6,1.546E-5,1.372E-5,0.022263193198905826,1.0701306540234776,6.927987495138889E-8,1.0859826E-8,,,Cas,1,418,,204.9273858380245,V567,5.809
441,443,28,3,,33    Psc,,0.088928,-5.707618,39.4945,-8.29,88.19,-6.0,4.61,1.627,K1III,1.029,39.287997,0.914841,-3.927804,-4.39E-6,-1.69E-6,1.741E-5,0.023281305328276467,-0.09961672987464,-4.019105411805555E-8,4.27557184E-7,,33,Psc,1,441,,19.462561593612413,BC,4.62
475,476,87,4,,86    Peg,,0.094989,13.396266,114.2857,42.59,-6.51,-2.0,5.55,0.26,G5III,0.901,111.141705,2.764456,26.478222,-1.74E-6,2.356E-5,-3.98E-6,0.0248680747187823,0.2338089558380125,2.0648214654861113E-7,-3.156137E-8,,86,Peg,1,475,,68.54882264526617,,
517,518,123,5,Gl 4.1A,,,0.104356,58.436733,21.4777,247.36,17.77,-11.6,5.98,4.32,G5V,0.687,11.23803,0.307211,18.300258,-8.49E-6,2.553E-5,-9.14E-6,0.027320425307301943,1.0199133908246714,1.1992351202222223E-6,8.6151391E-8,,,Cas,1,517,Gl   4.1,1.6292960326397214,V640,5.994
530,531,144,7,,10    Cas,,0.10737,64.196168,265.9574,9.7,0.01,-0.4,5.57,-1.554,B9III,-0.023,115.723206,3.253833,239.438695,-5.4E-7,1.25E-5,-3.6E-7,0.028109436485611372,1.1204345074242086,4.702692701388888E-8,4.8481E-11,,10,Cas,1,530,,364.4181507888612,,
635,636,319,12,,,,0.129693,-22.50856,78.3699,70.1,-34.71,-13.0,5.93,1.459,A1V,0.141,72.358029,2.457783,-30.001634,-1.822E-5,2.603E-5,-7.09E-6,0.03395367272591311,-0.39284847743974505,3.398543900694444E-7,-1.68278828E-7,,,Cet,1,635,,22.71956437735267,,
654,655,344,13,,,,0.134303,-33.529326,94.9668,-42.75,3.15,7.0,5.67,0.782,K1III,1.119,79.115753,2.782872,-52.45625,7.46E-6,-1.943E-5,-2.75E-6,0.03516055349382617,-0.5851971343732375,-2.072578484375E-7,1.527163E-8,,,Scl,1,654,,42.383810577435,,
670,671,360,16,,,,0.138204,-8.824112,98.4252,-34.13,-35.67,20.0,5.99,1.024,G8III:,1.034,97.196752,3.518268,-15.098621,1.818E-5,-1.564E-5,-1.996E-5,0.03618160116454473,-0.15400980916409124,-1.6546690917361112E-7,-1.72933039E-7,,,Cet,1,670,,33.91563869058218,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-2.0E-8,1.958E-5,-2.65E-5,0.03659716270801555,0.5077238184659449,6.577952017777778E-7,-7.90003892E-7,Alp,21,And,1,676,,114.49855346901883,Alp,2.083
727,729,448,22,,87    Peg,,0.150672,18.211963,87.4126,140.93,-25.57,-23.0,5.57,0.862,G9III,1.043,82.969037,3.274515,27.319281,-2.13E-5,5.893E-5,-1.764E-5,0.03944591941930006,0.31785871928999254,6.832479200069445E-7,-1.23966858E-7,,87,Peg,1,727,,39.37313537008504,,
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681E-5,4.329E-5,2.39E-6,0.040025852830323276,1.0323584043676326,2.5374663226597225E-6,-8.74700842E-7,Bet,11,Cas,1,744,,30.06076302628229,Bet,2.303
759,761,493,24,,Kap1Scl,,0.155851,-27.987928,77.4593,72.57,-9.99,9.0,5.42,0.975,F3V,0.414,68.343305,2.790097,-36.350566,5.25E-6,2.749E-5,-7.63E-6,0.04080165350626981,-0.4884814967877525,3.5182928797916665E-7,-4.8432886E-8,Kap-1,,Scl,1,759,,35.481338923357534,,
811,813,560,26,,34    Psc,,0.167278,11.145813,93.633,29.73,1.64,14.0,5.54,0.683,B9V,-0.064,91.778975,4.021883,18.099895,1.33E-5,1.409E-5,3.5E-6,0.043793360182188254,0.19453113557076,1.4413510722916667E-7,7.950944E-9,,34,Psc,1,811,,46.43014072818033,,
838,840,587,29,,,,0.171908,-5.248588,58.309,34.98,-29.01,24.0,5.84,2.011,K1III,0.973,58.00594,2.612349,-5.333956,2.322E-5,1.094E-5,-1.041E-5,0.04500547089347276,-0.09160513463892,1.6958782545833334E-7,-1.40644448E-7,,,Psc,1,838,,13.66469680740465,,
839,841,571,27,,22    And,,0.172012,46.072272,377.3585,4.51,0.21,-5.0,5.01,-2.874,F2II,0.405,261.527194,11.785276,271.779391,-4.19E-6,8.07E-6,-3.42E-6,0.04503274031959869,0.8041128329084449,2.1865096993055556E-8,1.018108E-9,,22,And,1,839,,1229.1361730601686,,
871,873,645,31,,,,0.178565,-12.579897,75.0188,149.39,-38.22,6.0,5.84,1.464,K0III,1.0,73.137904,3.421562,-16.339167,4.2E-7,5.441E-5,-1.49E-5,0.04674809930262709,-0.219560616338145,7.242631573819444E-7,-1.85295788E-7,,,Cet,1,871,,22.615177461083626,,
908,910,693,33,Gl 10,6    Cet,,0.187739,-15.467977,18.7477,-84.2,-269.31,14.6,4.89,3.525,F5V,0.487,18.046958,0.887717,-5.000042,8.23E-6,-7.26E-6,-2.757E-5,0.0491498571352085,-0.26996713445257625,-4.082131190277777E-7,-1.305651723E-6,,6,Cet,1,908,,3.3884415613920247,,
928,930,720,34,,Kap2Scl,,0.192894,-27.799737,243.309,4.61,17.09,-6.0,5.41,-1.521,K2III,1.346,214.952607,10.864269,-113.475053,3.69E-6,5.63E-6,2.069E-5,0.05049962656171839,-0.4851969350217425,2.2349910673611113E-8,8.2854658E-8,Kap-2,,Scl,1,928,,353.50861336199705,,
948,950,739,35,NN 3013,The Scl,,0.195552,-35.133119,21.2766,169.01,113.75,-13.5,5.24,3.6,F3/F5V,0.459,17.377471,0.890451,-12.244148,-5.43E-6,1.718E-5,1.754E-5,0.051195352606513186,-0.6131886115888412,8.193836015069444E-7,5.51475561E-7,The,,Scl,1,948,,3.162277660168378,,
